fragment_formula,fragment_mass,polarity,reference
C6H14NO+,116.107,pos,Barzen-Hanson et al. 2017
C6H16N2+,116.1308,pos,Barzen-Hanson et al. 2017
C4H7FNO2+,120.0455,pos,Barzen-Hanson et al. 2017
C3H7O3S+,123.011,pos,Barzen-Hanson et al. 2017
C8H18N+,128.1434,pos,Barzen-Hanson et al. 2017
C6H11NO2+,129.0784,pos,Barzen-Hanson et al. 2017
C7H17N2+,129.1386,pos,Barzen-Hanson et al. 2017
C7H18N2+,130.1465,pos,Barzen-Hanson et al. 2017
C6H15N2O+,131.1179,pos,Barzen-Hanson et al. 2017
C7H12FN2+,143.0979,pos,Barzen-Hanson et al. 2017
C8H19N2+,143.1543,pos,Barzen-Hanson et al. 2017
C7H17N2O+,145.1335,pos,Barzen-Hanson et al. 2017
C8H19N2O+,159.1492,pos,Barzen-Hanson et al. 2017
C5H12NO3S+,166.0532,pos,Barzen-Hanson et al. 2017
C5H14NO3S+,168.0689,pos,Barzen-Hanson et al. 2017
C8H15N2O2+,171.1128,pos,Barzen-Hanson et al. 2017
C6H13NO3S+,179.0611,pos,Barzen-Hanson et al. 2017
C5H14NO4S+,184.0638,pos,Barzen-Hanson et al. 2017
C10H21N2O+,185.1648,pos,Barzen-Hanson et al. 2017
C7H17N2O2S+,193.1005,pos,Barzen-Hanson et al. 2017
C7H16NO3S+,194.0845,pos,Barzen-Hanson et al. 2017
C6H16NO4S+,198.0795,pos,Barzen-Hanson et al. 2017
C9H21N2O3S+,237.1267,pos,Barzen-Hanson et al. 2017
C10H23N2O3S+,251.1424,pos,Barzen-Hanson et al. 2017
C9H21N2O4S+,253.1217,pos,Barzen-Hanson et al. 2017
C11H23N2O4S+,279.1373,pos,Barzen-Hanson et al. 2017
C5H3F9NO2S+,311.9735,pos,Barzen-Hanson et al. 2017
C7H3F13N+,348.0052,pos,Barzen-Hanson et al. 2017
C8H7F9NO2S+,352.0048,pos,Barzen-Hanson et al. 2017
C7H5F9NO4S+,369.979,pos,Barzen-Hanson et al. 2017
C10H9F13N+,390.0522,pos,Barzen-Hanson et al. 2017
C7H3F13NO2S+,411.9671,pos,Barzen-Hanson et al. 2017
C8H5F13NO2S+,425.9828,pos,Barzen-Hanson et al. 2017
C9H5F13NO2S+,437.9828,pos,Barzen-Hanson et al. 2017
C9H7F13NO2S+,439.9984,pos,Barzen-Hanson et al. 2017
C12H13F13NO2+,450.0733,pos,Barzen-Hanson et al. 2017
C10H7F13NO2S+,451.9984,pos,Barzen-Hanson et al. 2017
C10H9F13NO2S+,454.0141,pos,Barzen-Hanson et al. 2017
C9H7F13NO3S+,455.9934,pos,Barzen-Hanson et al. 2017
C14H17F13NO2+,478.1046,pos,Barzen-Hanson et al. 2017
C11H12F13N2O2S+,483.0406,pos,Barzen-Hanson et al. 2017
C11H14F13N2O2S+,485.0563,pos,Barzen-Hanson et al. 2017
C12H14F13N2O2S+,497.0563,pos,Barzen-Hanson et al. 2017
C12H16F13N2O2S+,499.0719,pos,Barzen-Hanson et al. 2017
C13H18F9N2O6S+,501.0736,pos,Barzen-Hanson et al. 2017
C13H18F13N2O2S+,513.0876,pos,Barzen-Hanson et al. 2017
C12H16F13N2O3S+,515.0669,pos,Barzen-Hanson et al. 2017
C12H14F13N2O4S+,529.0461,pos,Barzen-Hanson et al. 2017
C13H18F13N2O3S+,529.0825,pos,Barzen-Hanson et al. 2017
C13H18F13N2O3S+,529.0845,pos,Barzen-Hanson et al. 2017
C13H16F13N2O4S+,543.0618,pos,Barzen-Hanson et al. 2017
C13H18F13N2O4S+,545.0774,pos,Barzen-Hanson et al. 2017
C14H16F13N2O4S+,555.0618,pos,Barzen-Hanson et al. 2017
C16H22F13N2O3S+,569.1138,pos,Barzen-Hanson et al. 2017
C14H22F11N2O5S2+,571.0789,pos,Barzen-Hanson et al. 2017
C15H20F13N2O4S+,571.0931,pos,Barzen-Hanson et al. 2017
C15H22F13N2O4S+,573.1087,pos,Barzen-Hanson et al. 2017
C14H22F9N2O8S2+,581.0668,pos,Barzen-Hanson et al. 2017
C16H22F13N2O4S+,585.1087,pos,Barzen-Hanson et al. 2017
C13H18F13N2O5S2+,593.0444,pos,Barzen-Hanson et al. 2017
C14H20F13N2O5S2+,607.0601,pos,Barzen-Hanson et al. 2017
C16H20F13N2O6S+,615.0829,pos,Barzen-Hanson et al. 2017
C14H20F13N2O6S2+,623.055,pos,Barzen-Hanson et al. 2017
C15H22F13N2O6S2+,637.0706,pos,Barzen-Hanson et al. 2017
C16H24F13N2O6S2+,651.0863,pos,Barzen-Hanson et al. 2017
C17H24F13N2O6S2+,663.0863,pos,Barzen-Hanson et al. 2017
C16H22F13N2O7S2+,665.0655,pos,Barzen-Hanson et al. 2017
C16H24F13N2O7S2+,667.0812,pos,Barzen-Hanson et al. 2017
C17H26F13N2O8S3+,729.0638,pos,Barzen-Hanson et al. 2017
C17H26F13N2O10S3+,761.0537,pos,Barzen-Hanson et al. 2017
