fragment_formula,fragment_mass,polarity,reference
C8H5F8SO2- ,316.9888006,neg,Koelmel et al. 2022
C7H8F7N2O2S- ,317.0200192,neg,Koelmel et al. 2022
C6F13- ,318.9797916,neg,Koelmel et al. 2022
C8F11O- ,320.9779002,neg,Koelmel et al. 2022
C10F9S- ,322.9582508,neg,Koelmel et al. 2022
C6H2F9SO3- ,324.958645,neg,Koelmel et al. 2022
C9H3F8SO2- ,326.9731514,neg,Koelmel et al. 2022
C8H4F7SO4- ,328.9724028,neg,Koelmel et al. 2022
C7HF12O- ,328.984128,neg,Koelmel et al. 2022
C7H4SF11- ,328.9863556,neg,Koelmel et al. 2022
C5F10SO3- ,329.941399,neg,Koelmel et al. 2022
C5HF10SO3- ,330.9492236,neg,Koelmel et al. 2022
C7F13- ,330.9797916,neg,Koelmel et al. 2022
C5F11SO2- ,332.9448872,neg,Koelmel et al. 2022
C9H3F10S- ,332.9801278,neg,Koelmel et al. 2022
C9H3F10S- ,332.9801278,neg,Koelmel et al. 2022
C8H8F7O4S- ,333.0037012,neg,Koelmel et al. 2022
C8H12F7N2O2S- ,333.0513176,neg,Koelmel et al. 2022
C10H4F6O4S- ,333.9739996,neg,Koelmel et al. 2022
C7H9F7O3N2S- ,334.0227588,neg,Koelmel et al. 2022
C6F13O- ,334.9747066,neg,Koelmel et al. 2022
C10H17F3O4NS2- ,336.0556558,neg,Koelmel et al. 2022
C9HF12- ,336.989213,neg,Koelmel et al. 2022
C8H6F9SO2- ,336.9950284,neg,Koelmel et al. 2022
C7H5F9NO2S- ,337.9902778,neg,Koelmel et al. 2022
C8H2SF11- ,338.9707064,neg,Koelmel et al. 2022
C7H6F9NO2S- ,338.9981024,neg,Koelmel et al. 2022
C6HF10SO3- ,342.9492236,neg,Koelmel et al. 2022
C10HF10S- ,342.9644786,neg,Koelmel et al. 2022
C8F13- ,342.9797916,neg,Koelmel et al. 2022
C8H3F12O- ,342.9997772,neg,Koelmel et al. 2022
C7F13O- ,346.9747066,neg,Koelmel et al. 2022
C7F13O- ,346.9747066,neg,Koelmel et al. 2022
C9H4F9SO2- ,346.9793792,neg,Koelmel et al. 2022
C5HF11NO2S- ,347.9557858,neg,Koelmel et al. 2022
C5F11SO3- ,348.9398022,neg,Koelmel et al. 2022
C8H5F8O4S- ,348.9786306,neg,Koelmel et al. 2022
C9H8O2SF9- ,351.0106776,neg,Koelmel et al. 2022
C10H17F3O5NS2- ,352.0505708,neg,Koelmel et al. 2022
C9F13- ,354.9797916,neg,Koelmel et al. 2022
C9H18F3N2O5S2- ,355.0614694,neg,Koelmel et al. 2022
C3F11S2O3- ,356.9118742,neg,Koelmel et al. 2022
C8F13O- ,358.9747066,neg,Koelmel et al. 2022
C8H3SF12- ,358.9769342,neg,Koelmel et al. 2022
C8H11F5NO5S2- ,360.0004296,neg,Koelmel et al. 2022
C6F11SO3- ,360.9398022,neg,Koelmel et al. 2022
C6H3F11NO2S- ,361.971435,neg,Koelmel et al. 2022
C6H2F11SO3- ,362.9554514,neg,Koelmel et al. 2022
C7F13O2- ,362.9696216,neg,Koelmel et al. 2022
C10H2F11S- ,362.9707064,neg,Koelmel et al. 2022
C9H14F7N2O3S- ,363.0618818,neg,Koelmel et al. 2022
C11H4F7O4S- ,364.9724028,neg,Koelmel et al. 2022
C10F13- ,366.9797916,neg,Koelmel et al. 2022
C9H5F10SO2- ,366.985607,neg,Koelmel et al. 2022
C8H8F9N2O2S- ,367.0168256,neg,Koelmel et al. 2022
C7F15- ,368.976598,neg,Koelmel et al. 2022
C10H3F8SO4- ,370.9629814,neg,Koelmel et al. 2022
C9F13O- ,370.9747066,neg,Koelmel et al. 2022
C9H18F3N2O6S2- ,371.0563844,neg,Koelmel et al. 2022
C11F11S- ,372.9550572,neg,Koelmel et al. 2022
C7H2F11SO3- ,374.9554514,neg,Koelmel et al. 2022
C10H3F10SO2- ,376.9699578,neg,Koelmel et al. 2022
C8HF14O- ,378.9809344,neg,Koelmel et al. 2022
C8H4SF13- ,378.983162,neg,Koelmel et al. 2022
C6F12SO3- ,379.9382054,neg,Koelmel et al. 2022
C6HF12SO3- ,380.94603,neg,Koelmel et al. 2022
C8F15- ,380.976598,neg,Koelmel et al. 2022
C6F13SO2- ,382.9416936,neg,Koelmel et al. 2022
C10H3F12S- ,382.9769342,neg,Koelmel et al. 2022
C9H8F9O4S- ,383.0005076,neg,Koelmel et al. 2022
C9H12F9N2O2S- ,383.048124,neg,Koelmel et al. 2022
C8H9F9O3N2S- ,384.0195652,neg,Koelmel et al. 2022
C7F15O- ,384.971513,neg,Koelmel et al. 2022
C10H20F3N2O6S2- ,385.0720336,neg,Koelmel et al. 2022
C11H17F5O4NS2- ,386.0524622,neg,Koelmel et al. 2022
C10HF14- ,386.9860194,neg,Koelmel et al. 2022
C9H6F11SO2- ,386.9918348,neg,Koelmel et al. 2022
C8H5F11NO2S- ,387.9870842,neg,Koelmel et al. 2022
C9H2SF13- ,388.9675128,neg,Koelmel et al. 2022
C8H6F11NO2S- ,388.9949088,neg,Koelmel et al. 2022
C10H4F9SO4- ,390.9692092,neg,Koelmel et al. 2022
